start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
101.167.32.95,101.167.32.95,101.167.0.0,Mackay,Queensland,AU,-21.15345,149.16554,9943,Australia/Brisbane
101.70.139.181,101.70.139.183,101.70.0.0,Jiaxing,Zhejiang,CN,30.7522,120.75,,Asia/Shanghai
103.214.70.0,103.214.70.31,103.214.0.0,Taipei,Taiwan,TW,25.04776,121.53185,,Asia/Taipei
101.137.235.160,101.137.235.175,101.137.0.0,Hsinchu,Taiwan,TW,24.80361,120.96861,,Asia/Taipei
1.84.100.112,1.84.100.127,1.84.0.0,Nanjing,Jiangsu,CN,32.06167,118.77778,,Asia/Shanghai
104.239.20.33,104.239.20.33,104.239.0.0,Los Angeles,California,US,34.05223,-118.24368,90009,America/Los_Angeles
105.33.187.160,105.33.187.255,105.33.0.0,Abū Tīj,Asyut,EG,27.04514,31.31845,,Africa/Cairo
1.2.196.222,1.2.196.223,1.2.0.0,Lom Sak,Phetchabun,TH,16.77983,101.24225,67110,Asia/Bangkok
101.189.222.152,101.189.222.159,101.189.0.0,Brisbane,Queensland,AU,-27.4005,153.05578,4012,Australia/Brisbane
101.162.84.164,101.162.84.167,101.162.0.0,Cairns,Queensland,AU,-16.92366,145.76613,4870,Australia/Brisbane
102.170.143.64,102.170.143.95,102.170.0.0,Erriadh,Madanīn,TN,33.82063,10.85394,,Africa/Tunis
101.29.103.208,101.29.103.239,101.29.0.0,Hebei,Beijing,CN,39.81521,115.93068,,Asia/Shanghai
101.51.111.13,101.51.111.13,101.51.0.0,Hat Yai,Songkhla,TH,7.00836,100.47668,90110,Asia/Bangkok
105.50.222.224,105.50.222.255,105.50.0.0,Kericho,Kericho,KE,-0.36774,35.28314,,Africa/Nairobi
101.100.154.124,101.100.154.124,101.100.0.0,Milton,Otago,NZ,-46.12083,169.96944,9220,Pacific/Auckland
101.136.251.0,101.136.251.1,101.136.0.0,Taichung,Taiwan,TW,24.1469,120.6839,,Asia/Taipei
103.195.128.0,103.195.131.255,103.195.0.0,The Rocks,New South Wales,AU,-33.85923,151.2081,2000,Australia/Sydney
104.235.42.162,104.235.42.175,104.235.0.0,Princeton,Illinois,US,41.36809,-89.46481,61356,America/Chicago
105.92.170.9,105.92.170.9,105.92.0.0,Cairo,Cairo,EG,30.06263,31.24967,,Africa/Cairo
1.59.178.182,1.59.179.86,1.59.0.0,Beijing,Beijing,CN,39.9075,116.39723,,Asia/Shanghai
105.72.35.132,105.72.35.138,105.72.0.0,Casablanca,Casablanca-Settat,MA,33.58831,-7.61138,,Africa/Casablanca
104.158.76.192,104.158.76.255,104.158.0.0,Moncton,New Brunswick,CA,46.09454,-64.7965,E1C,America/Moncton
103.161.96.0,103.161.96.255,103.161.0.0,Chũ,Bắc Giang,VN,21.37379,106.56649,26316,Asia/Bangkok
102.52.46.120,102.52.46.123,102.52.0.0,Reçani,Drâa-Tafilalet,MA,31.28318,-4.26565,,Africa/Casablanca
104.4.100.237,104.4.100.238,104.4.0.0,Marietta,Ohio,US,39.41535,-81.45484,45750,America/New_York
1.193.162.80,1.193.162.91,1.193.0.0,Hangzhou,Zhejiang,CN,30.29365,120.16142,,Asia/Shanghai
1.10.243.192,1.10.243.239,1.10.0.0,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,TH,14.35167,100.57739,13000,Asia/Bangkok
101.161.224.152,101.161.224.152,101.161.0.0,Sydney,New South Wales,AU,-33.92096,151.02196,2200,Australia/Sydney
103.219.151.0,103.219.151.255,103.219.0.0,Mumbai,Maharashtra,IN,19.0333,72.85,400019,Asia/Kolkata
105.226.72.152,105.226.72.159,105.226.0.0,Daniëlskuil,Northern Cape,ZA,-28.18873,23.53951,8405,Africa/Johannesburg
101.205.208.241,101.205.208.242,101.205.0.0,Qingdao,Shandong,CN,36.06488,120.38042,,Asia/Shanghai
102.27.251.192,102.27.251.223,102.27.0.0,Tunis,Tūnis,TN,36.81897,10.16579,,Africa/Tunis
102.109.80.64,102.109.80.79,102.109.0.0,Ben Gardane,Madanīn,TN,33.13783,11.21965,,Africa/Tunis
105.47.81.176,105.47.81.191,105.47.0.0,Abū Tīj,Asyut,EG,27.04514,31.31845,,Africa/Cairo
105.157.16.102,105.157.16.107,105.157.0.0,Agadir,Souss-Massa,MA,30.42018,-9.59815,,Africa/Casablanca
104.220.157.110,104.220.157.255,104.220.0.0,Roseville,California,US,38.75212,-121.28801,95678,America/Los_Angeles
102.29.89.224,102.29.89.239,102.29.0.0,La Mohammedia,Tūnis,TN,36.67446,10.15633,,Africa/Tunis
102.0.250.176,102.0.250.211,102.0.0.0,Nairobi,Nairobi Area,KE,-1.28333,36.81667,,Africa/Nairobi
105.172.68.132,105.172.68.135,105.172.0.0,Dundo,Luanda Norte,AO,-7.36643,20.81557,,Africa/Luanda
101.249.109.252,101.249.109.252,101.249.0.0,Nanjing,Jiangsu,CN,32.06167,118.77778,,Asia/Shanghai
105.68.130.48,105.68.130.75,105.68.0.0,Casablanca,Casablanca-Settat,MA,33.58831,-7.61138,,Africa/Casablanca
105.186.40.60,105.186.40.67,105.186.0.0,Cape Town,Western Cape,ZA,-34.05,18.4833,7805,Africa/Johannesburg
103.28.148.228,103.28.148.228,103.28.0.0,Kudus,Central Java,ID,-6.8048,110.8405,,Asia/Jakarta
101.137.205.39,101.137.205.39,101.137.0.0,Taichung,Taiwan,TW,24.1469,120.6839,,Asia/Taipei
1.121.200.128,1.121.200.135,1.121.0.0,Waikerie,South Australia,AU,-34.18178,139.98552,5330,Australia/Adelaide
1.52.120.250,1.52.121.8,1.52.0.0,Hanoi,Hanoi,VN,21.0245,105.84117,10000,Asia/Bangkok
101.66.48.252,101.66.48.253,101.66.0.0,Qingdao,Shandong,CN,36.06488,120.38042,,Asia/Shanghai
103.12.200.87,103.12.200.87,103.12.0.0,Axedale,Victoria,AU,-36.8,144.51667,3551,Australia/Melbourne
101.175.201.86,101.175.201.87,101.175.0.0,Lillian Rock,New South Wales,AU,-28.5349,153.1585,2480,Australia/Sydney
105.247.119.248,105.247.119.248,105.247.0.0,Durban,KwaZulu-Natal,ZA,-29.8579,31.0292,4001,Africa/Johannesburg
104.36.171.128,104.36.171.191,104.36.0.0,Sydney,Nova Scotia,CA,46.1351,-60.1831,B1P,America/Glace_Bay
102.189.107.236,102.189.108.3,102.189.0.0,Ţanţā,Gharbia,EG,30.78847,31.00192,,Africa/Cairo
105.105.18.98,105.105.18.99,105.105.0.0,Biskra,Biskra,DZ,34.8053,5.7341,07006,Africa/Algiers
102.78.158.140,102.78.158.159,102.78.0.0,Marrakesh,Marrakesh-Safi,MA,31.63416,-7.99994,,Africa/Casablanca
102.132.234.64,102.132.234.255,102.132.0.0,Johannesburg,Gauteng,ZA,-26.3333,28.15,1421,Africa/Johannesburg
101.167.0.240,101.167.0.245,101.167.0.0,Townsville,Queensland,AU,-19.26639,146.80569,4810,Australia/Brisbane
